location_name,state,latitude,longitude,metric,target_year,baseline_start_year,baseline_end_year,target_value,baseline_avg_value,delta_value,status
Phoenix,Arizona,33.44838,-112.07404,days_above_90f,2016,2011,2020,166,166.1,-0.09999999999999432,completed
Phoenix,Arizona,33.44838,-112.07404,days_below_32f,2016,2011,2020,2,4.5,-2.5,completed
Phoenix,Arizona,33.44838,-112.07404,days_above_90f,2017,2011,2020,187,166.1,20.900000000000006,completed
Phoenix,Arizona,33.44838,-112.07404,days_below_32f,2017,2011,2020,0,4.5,-4.5,completed
Phoenix,Arizona,33.44838,-112.07404,days_above_90f,2018,2011,2020,168,166.1,1.9000000000000057,completed
Phoenix,Arizona,33.44838,-112.07404,days_below_32f,2018,2011,2020,0,4.5,-4.5,completed
Phoenix,Arizona,33.44838,-112.07404,days_above_90f,2019,2011,2020,144,166.1,-22.099999999999994,completed
Phoenix,Arizona,33.44838,-112.07404,days_below_32f,2019,2011,2020,5,4.5,0.5,completed
Phoenix,Arizona,33.44838,-112.07404,days_above_90f,2020,2011,2020,187,166.1,20.900000000000006,completed
Phoenix,Arizona,33.44838,-112.07404,days_below_32f,2020,2011,2020,3,4.5,-1.5,completed
Phoenix,Arizona,33.44838,-112.07404,days_above_90f,2021,2011,2020,163,166.1,-3.0999999999999943,completed
Phoenix,Arizona,33.44838,-112.07404,days_below_32f,2021,2011,2020,0,4.5,-4.5,completed
Phoenix,Arizona,33.44838,-112.07404,days_above_90f,2022,2011,2020,175,166.1,8.900000000000006,completed
Phoenix,Arizona,33.44838,-112.07404,days_below_32f,2022,2011,2020,0,4.5,-4.5,completed
Phoenix,Arizona,33.44838,-112.07404,days_above_90f,2023,2011,2020,175,166.1,8.900000000000006,completed
Phoenix,Arizona,33.44838,-112.07404,days_below_32f,2023,2011,2020,2,4.5,-2.5,completed
Phoenix,Arizona,33.44838,-112.07404,days_above_90f,2024,2011,2020,181,166.1,14.900000000000006,completed
Phoenix,Arizona,33.44838,-112.07404,days_below_32f,2024,2011,2020,4,4.5,-0.5,completed
Philadelphia,Pennsylvania,39.95238,-75.16362,days_above_90f,2015,2011,2020,13,17.4,-4.399999999999999,completed
Philadelphia,Pennsylvania,39.95238,-75.16362,days_below_32f,2015,2011,2020,85,82.1,2.9000000000000057,completed
Philadelphia,Pennsylvania,39.95238,-75.16362,days_above_90f,2016,2011,2020,25,17.4,7.600000000000001,completed
Philadelphia,Pennsylvania,39.95238,-75.16362,days_below_32f,2016,2011,2020,74,82.1,-8.099999999999994,completed
Philadelphia,Pennsylvania,39.95238,-75.16362,days_above_90f,2017,2011,2020,13,17.4,-4.399999999999999,completed
Philadelphia,Pennsylvania,39.95238,-75.16362,days_below_32f,2017,2011,2020,74,82.1,-8.099999999999994,completed
Philadelphia,Pennsylvania,39.95238,-75.16362,days_above_90f,2018,2011,2020,14,17.4,-3.3999999999999986,completed
Philadelphia,Pennsylvania,39.95238,-75.16362,days_below_32f,2018,2011,2020,90,82.1,7.900000000000006,completed
Philadelphia,Pennsylvania,39.95238,-75.16362,days_above_90f,2019,2011,2020,17,17.4,-0.3999999999999986,completed
Philadelphia,Pennsylvania,39.95238,-75.16362,days_below_32f,2019,2011,2020,98,82.1,15.900000000000006,completed
Philadelphia,Pennsylvania,39.95238,-75.16362,days_above_90f,2020,2011,2020,22,17.4,4.600000000000001,completed
Philadelphia,Pennsylvania,39.95238,-75.16362,days_below_32f,2020,2011,2020,57,82.1,-25.099999999999994,completed
Philadelphia,Pennsylvania,39.95238,-75.16362,days_above_90f,2021,2011,2020,21,17.4,3.6000000000000014,completed
Philadelphia,Pennsylvania,39.95238,-75.16362,days_below_32f,2021,2011,2020,78,82.1,-4.099999999999994,completed
Philadelphia,Pennsylvania,39.95238,-75.16362,days_above_90f,2022,2011,2020,26,17.4,8.600000000000001,completed
Philadelphia,Pennsylvania,39.95238,-75.16362,days_below_32f,2022,2011,2020,94,82.1,11.900000000000006,completed
Philadelphia,Pennsylvania,39.95238,-75.16362,days_above_90f,2023,2011,2020,25,17.4,7.600000000000001,completed
Philadelphia,Pennsylvania,39.95238,-75.16362,days_below_32f,2023,2011,2020,51,82.1,-31.099999999999994,completed
Philadelphia,Pennsylvania,39.95238,-75.16362,days_above_90f,2024,2011,2020,27,17.4,9.600000000000001,completed
Philadelphia,Pennsylvania,39.95238,-75.16362,days_below_32f,2024,2011,2020,68,82.1,-14.099999999999994,completed
San Antonio,Texas,29.42412,-98.49363,days_above_90f,2015,2011,2020,79,104.1,-25.099999999999994,completed
San Antonio,Texas,29.42412,-98.49363,days_below_32f,2015,2011,2020,3,5.3,-2.3,completed
San Antonio,Texas,29.42412,-98.49363,days_above_90f,2016,2011,2020,63,104.1,-41.099999999999994,completed
San Antonio,Texas,29.42412,-98.49363,days_below_32f,2016,2011,2020,2,5.3,-3.3,completed
San Antonio,Texas,29.42412,-98.49363,days_above_90f,2017,2011,2020,91,104.1,-13.099999999999994,completed
San Antonio,Texas,29.42412,-98.49363,days_below_32f,2017,2011,2020,5,5.3,-0.2999999999999998,completed
San Antonio,Texas,29.42412,-98.49363,days_above_90f,2018,2011,2020,99,104.1,-5.099999999999994,completed
San Antonio,Texas,29.42412,-98.49363,days_below_32f,2018,2011,2020,7,5.3,1.7000000000000002,completed
San Antonio,Texas,29.42412,-98.49363,days_above_90f,2019,2011,2020,127,104.1,22.900000000000006,completed
San Antonio,Texas,29.42412,-98.49363,days_below_32f,2019,2011,2020,4,5.3,-1.2999999999999998,completed
San Antonio,Texas,29.42412,-98.49363,days_above_90f,2020,2011,2020,108,104.1,3.9000000000000057,completed
San Antonio,Texas,29.42412,-98.49363,days_below_32f,2020,2011,2020,2,5.3,-3.3,completed
San Antonio,Texas,29.42412,-98.49363,days_above_90f,2021,2011,2020,81,104.1,-23.099999999999994,completed
San Antonio,Texas,29.42412,-98.49363,days_below_32f,2021,2011,2020,11,5.3,5.7,completed
San Antonio,Texas,29.42412,-98.49363,days_above_90f,2022,2011,2020,145,104.1,40.900000000000006,completed
San Antonio,Texas,29.42412,-98.49363,days_below_32f,2022,2011,2020,15,5.3,9.7,completed
San Antonio,Texas,29.42412,-98.49363,days_above_90f,2023,2011,2020,127,104.1,22.900000000000006,completed
San Antonio,Texas,29.42412,-98.49363,days_below_32f,2023,2011,2020,0,5.3,-5.3,completed
San Antonio,Texas,29.42412,-98.49363,days_above_90f,2024,2011,2020,128,104.1,23.900000000000006,completed
San Antonio,Texas,29.42412,-98.49363,days_below_32f,2024,2011,2020,5,5.3,-0.2999999999999998,completed
San Diego,California,32.71571,-117.16472,days_above_90f,2015,2011,2020,8,2.8,5.2,completed
San Diego,California,32.71571,-117.16472,days_below_32f,2015,2011,2020,0,0.0,0.0,completed
San Diego,California,32.71571,-117.16472,days_above_90f,2016,2011,2020,4,2.8,1.2000000000000002,completed
San Diego,California,32.71571,-117.16472,days_below_32f,2016,2011,2020,0,0.0,0.0,completed
San Diego,California,32.71571,-117.16472,days_above_90f,2017,2011,2020,2,2.8,-0.7999999999999998,completed
San Diego,California,32.71571,-117.16472,days_below_32f,2017,2011,2020,0,0.0,0.0,completed
San Diego,California,32.71571,-117.16472,days_above_90f,2018,2011,2020,1,2.8,-1.7999999999999998,completed
San Diego,California,32.71571,-117.16472,days_below_32f,2018,2011,2020,0,0.0,0.0,completed
San Diego,California,32.71571,-117.16472,days_above_90f,2019,2011,2020,1,2.8,-1.7999999999999998,completed
San Diego,California,32.71571,-117.16472,days_below_32f,2019,2011,2020,0,0.0,0.0,completed
San Diego,California,32.71571,-117.16472,days_above_90f,2020,2011,2020,2,2.8,-0.7999999999999998,completed
San Diego,California,32.71571,-117.16472,days_below_32f,2020,2011,2020,0,0.0,0.0,completed
San Diego,California,32.71571,-117.16472,days_above_90f,2021,2011,2020,0,2.8,-2.8,completed
San Diego,California,32.71571,-117.16472,days_below_32f,2021,2011,2020,0,0.0,0.0,completed
San Diego,California,32.71571,-117.16472,days_above_90f,2022,2011,2020,5,2.8,2.2,completed
San Diego,California,32.71571,-117.16472,days_below_32f,2022,2011,2020,0,0.0,0.0,completed
San Diego,California,32.71571,-117.16472,days_above_90f,2023,2011,2020,0,2.8,-2.8,completed
San Diego,California,32.71571,-117.16472,days_below_32f,2023,2011,2020,0,0.0,0.0,completed
San Diego,California,32.71571,-117.16472,days_above_90f,2024,2011,2020,2,2.8,-0.7999999999999998,completed
San Diego,California,32.71571,-117.16472,days_below_32f,2024,2011,2020,0,0.0,0.0,completed
Dallas,Texas,32.78306,-96.80667,days_above_90f,2015,2011,2020,92,89.1,2.9000000000000057,completed
Dallas,Texas,32.78306,-96.80667,days_below_32f,2015,2011,2020,19,19.0,0.0,completed
Dallas,Texas,32.78306,-96.80667,days_above_90f,2016,2011,2020,73,89.1,-16.099999999999994,completed
Dallas,Texas,32.78306,-96.80667,days_below_32f,2016,2011,2020,12,19.0,-7.0,completed
Dallas,Texas,32.78306,-96.80667,days_above_90f,2017,2011,2020,69,89.1,-20.099999999999994,completed
Dallas,Texas,32.78306,-96.80667,days_below_32f,2017,2011,2020,9,19.0,-10.0,completed
Dallas,Texas,32.78306,-96.80667,days_above_90f,2018,2011,2020,96,89.1,6.900000000000006,completed
Dallas,Texas,32.78306,-96.80667,days_below_32f,2018,2011,2020,28,19.0,9.0,completed
